EO_total_beta	EM_total_beta	MO_total_beta	EO_direct_beta	MO_direct_beta	EO_total_se	EM_total_se	MO_total_se	EO_direct_se	MO_direct_se	indirect_b_difference	indirect_se_difference_PoE	indirect_b_product_v1	indirect_se_product_v1_PoE	indirect_se_product_v1_delta	indirect_b_product_v2	indirect_se_product_v2_PoE	indirect_se_product_v2_delta	param_snps_m	param_beta_em	param_beta_mo
-0.3855092973901822	-0.22955332148678725	0.06853812352648736	-0.3595344233128247	0.07288780752252794	0.008743623631200848	0.013116555069781013	0.005964931759142843	0.009277831439792448	0.006096148375459594	-0.02597487407735749	0.012748690537827604	-0.01573315390397689	0.01440917859525063	0.0016380086733317515	-0.016731638312685926	0.01446399121661157	0.0016947867434775944	253	-0.240201359	0.080970057
-0.3997556507393694	-0.2461711976678669	0.06999524313024705	-0.3729978341821376	0.06929385033070004	0.010886674373541662	0.012206858528106662	0.007117021711610328	0.011463220597336059	0.007234812150847258	-0.026757816557231806	0.01580901974755925	-0.01723081283242645	0.014130088222256192	0.0019492463118699057	-0.017058150126926346	0.014189781604494746	0.001971661475610618	253	-0.240201359	0.080970057
-0.41064585226558736	-0.23298780376940803	0.07296844727604627	-0.37803475194065445	0.07192179573202395	0.010638096408468276	0.01293654831045774	0.006029887804188884	0.01064992825153659	0.006886878158092234	-0.03261110032493292	0.015052908920163666	-0.017000758275309866	0.014272835356715667	0.0016925652091229926	-0.016756901230756245	0.014655489515987342	0.0018548016959889792	253	-0.240201359	0.080970057
-0.3990336894022502	-0.22078263342691443	0.08199346294278627	-0.3670111686976398	0.08305180646319055	0.010916752736573634	0.013380548269104597	0.00660668585886917	0.011139404011084465	0.007054518073392624	-0.032022520704610424	0.015596852632299011	-0.018102732672300472	0.014922713225805148	0.001825185419539143	-0.01833639654180564	0.015126311421812694	0.0019133200407269952	253	-0.240201359	0.080970057
-0.4030557455899433	-0.22644154777690284	0.08275999384742962	-0.37045106072824613	0.07922961831496572	0.011625230418535646	0.013419685120042468	0.00675140586776903	0.01148421353833302	0.007381066666678965	-0.03260468486169715	0.016341148762497634	-0.01874030110081892	0.015022297757414985	0.001889626184776154	-0.017940877401014087	0.015315616013045265	0.001980904732370194	253	-0.240201359	0.080970057
-0.38798159193259063	-0.23684186520132747	0.07638942093390337	-0.3540448575881575	0.0822824353640091	0.010094915704423335	0.014650742552108187	0.005494709610175264	0.009932923802000428	0.006137998075534251	-0.03393673434443312	0.014162284361491952	-0.018092212935635003	0.01564723908644288	0.001716422385674358	-0.019487925464919585	0.0158845609855424	0.0018885371318207022	253	-0.240201359	0.080970057
-0.39320583633356004	-0.21747370607568067	0.07355886979408144	-0.36614948226360267	0.07191965404861585	0.009671408432328634	0.01344012463415788	0.0063311191284340365	0.010229924948702875	0.006664073856661059	-0.027056354069957378	0.014077908421388842	-0.015997120028857333	0.014856649003059904	0.0016950312867145467	-0.01564063370563332	0.015001560937073544	0.0017420362106838891	253	-0.240201359	0.080970057
-0.3929339454779654	-0.22759921818328205	0.08482441219860107	-0.3629045920487616	0.08472587026151036	0.010200649613416872	0.013889192440856943	0.006310622324244201	0.01073440047300727	0.006626806152777962	-0.03002935342920382	0.01480812635179078	-0.019305969899258056	0.015255609485641893	0.0018576750767554332	-0.019283541831417946	0.01538909439979018	0.0019130166516173205	253	-0.240201359	0.080970057
-0.40106547453696895	-0.22981838731136983	0.08424732413891076	-0.3708958128056354	0.08852569788547689	0.010912958964050647	0.013223831649873164	0.005944340865822425	0.01025408260533072	0.00631764390963103	-0.030169661731333564	0.014974607955736251	-0.01936158416890271	0.014498445152266285	0.0017627926831784884	-0.02034483312365384	0.014655454550203664	0.0018650639905927531	253	-0.240201359	0.080970057
-0.37949830199762496	-0.25306489234680857	0.08258851637102148	-0.34667390527113573	0.0846565509565822	0.011972036079424483	0.014180506785355788	0.006256034270383561	0.011114461034851253	0.006821395047100251	-0.032824396726489236	0.01633587744757741	-0.020900254004515187	0.015499185058632441	0.001969277178015897	-0.021423600954279587	0.015735889014546506	0.0021026396124682657	253	-0.240201359	0.080970057
